,location,total_sqft,bath,price,bhk,encoded_loc
5614,Sarjapur  Road,1350.0,2,102.0,2,194
5615,Hebbal,1204.0,2,45.0,2,92
5616,Sarjapur  Road,2990.0,4,240.0,4,194
5617,Sarjapur  Road,1035.0,2,49.0,2,194
5618,other,1000.0,2,29.95,2,230
5619,Sarjapur  Road,1457.0,3,85.0,3,194
5620,Bannerghatta,1100.0,2,66.0,2,33
5621,Whitefield,1655.0,3,120.0,3,224
5622,Kanakpura Road,1691.2,3,115.0,3,127
5623,Ramagondanahalli,1215.0,2,46.1,2,187
5624,Kanakpura Road,1660.0,2,50.125,2,127
5625,Hoodi,1639.0,3,129.0,3,97
5626,Sarjapur  Road,1685.0,3,135.0,3,194
5627,Hormavu,1100.0,2,38.0,2,100
5628,Marathahalli,2122.0,3,125.0,3,161
5629,other,1050.0,2,47.0,2,230
5630,Kengeri,1230.0,2,45.0,2,135
5631,5th Phase JP Nagar,1240.0,3,60.0,3,4
5632,Electronic City Phase II,1252.0,2,65.0,3,75
5633,other,1374.0,2,88.0,3,230
5634,8th Phase JP Nagar,500.0,1,30.0,1,7
5635,Banashankari,1040.0,2,45.0,2,26
5636,Sarjapur  Road,1350.0,2,68.0,2,194
5637,Whitefield,4003.0,6,300.0,4,224
5638,Hennur,2400.0,3,135.0,3,95
5639,Haralur Road,1560.0,3,90.0,3,90
5640,Anandapura,1151.0,2,43.16,2,15
5641,Uttarahalli,1360.0,2,47.59,3,216
5642,other,1250.0,2,60.0,2,230
5643,Hennur Road,1015.0,2,50.0,2,96
5644,Kadugodi,1351.0,2,78.0,3,117
5645,Yelahanka New Town,960.0,2,50.0,2,227
5646,other,1110.0,2,52.0,2,230
5647,R.T. Nagar,1680.0,3,72.0,3,182
5648,Arekere,2400.0,3,180.0,3,20
5649,other,1350.0,3,48.6,3,230
5650,Horamavu Banaswadi,1254.0,2,47.0,2,99
5651,CV Raman Nagar,1051.0,2,61.0,2,53
5652,Uttarahalli,1099.0,2,65.0,2,216
5653,Hebbal,2650.0,4,199.0,3,92
5654,other,2000.0,2,160.0,4,230
5655,Yeshwanthpur,1541.0,2,130.0,2,229
5656,Whitefield,1125.0,2,45.0,2,224
5657,Vittasandra,1650.0,3,85.0,3,223
5658,other,834.0,1,62.0,1,230
5659,Gollarapalya Hosahalli,1320.0,3,60.0,3,81
5660,Mysore Road,1500.0,3,74.0,3,166
5661,Kanakpura Road,1590.0,1,125.0,1,127
5662,other,600.0,1,52.0,1,230
5663,Whitefield,1180.0,2,70.0,2,224
5664,Kadugodi,1010.0,2,50.0,2,117
5665,Channasandra,1070.0,2,38.0,2,56
5666,Choodasandra,1580.0,3,105.0,3,60
5667,Green Glen Layout,2000.0,3,165.0,3,83
5668,Sanjay nagar,1200.0,2,76.0,3,191
5669,Kalena Agrahara,1040.0,2,45.0,2,121
5670,Hulimavu,1430.0,2,90.0,3,105
5671,Thanisandra,1564.0,3,105.0,3,209
5672,other,800.0,2,52.0,3,230
5673,Hormavu,750.0,2,58.0,2,100
5674,Kasavanhalli,1200.0,2,60.0,2,130
5675,Begur Road,1200.0,2,44.4,2,39
5676,other,2000.0,4,135.0,4,230
5677,Yelahanka,1650.0,3,105.0,3,226
5678,Yelahanka,1200.0,2,55.0,2,226
5679,Kengeri Satellite Town,985.0,2,42.0,2,136
5680,Ramagondanahalli,1475.0,2,63.0,3,187
5681,Sarjapur  Road,1157.0,2,53.99,3,194
5682,other,900.0,2,35.0,2,230
5683,Gottigere,2500.0,3,120.0,4,82
5684,GM Palaya,1030.0,2,60.0,2,78
5685,other,1000.0,2,46.0,2,230
5686,Sarjapur  Road,3800.0,3,325.0,4,194
5687,Kasavanhalli,4260.0,4,333.0,4,130
5688,Kudlu,1570.0,2,65.94,3,147
5689,Kanakapura,1283.0,2,68.0,2,126
5690,Electronic City Phase II,875.0,2,40.0,3,75
5691,other,1200.0,2,52.0,2,230
5692,Konanakunte,2400.0,2,180.0,3,143
5693,Old Madras Road,3630.0,6,196.0,4,177
5694,Yelahanka,990.0,2,37.62,2,226
5695,other,1280.0,2,90.0,2,230
5696,other,1190.0,2,55.0,2,230
5697,Yelachenahalli,1100.0,2,60.0,2,225
5698,other,2075.0,3,175.0,3,230
5699,Harlur,1133.0,2,55.0,2,91
5700,Somasundara Palya,2400.0,3,140.0,4,202
5701,Whitefield,1280.0,2,69.0,2,224
5702,Horamavu Agara,1250.0,3,65.0,3,98
5703,Begur Road,1565.0,2,49.3,3,39
5704,other,1900.0,3,65.0,3,230
5705,Munnekollal,1080.0,2,45.0,2,164
5706,Battarahalli,600.0,1,47.0,1,37
5707,HRBR Layout,1335.0,2,87.0,3,88
5708,JP Nagar,5048.0,2,237.5,3,109
5709,Sarjapur  Road,1385.0,3,55.0,3,194
5710,other,1578.0,3,73.9,3,230
5711,Sarjapur  Road,1700.0,3,79.9,3,194
5712,other,1050.0,4,90.0,4,230
5713,Vidyaranyapura,1120.0,2,70.0,2,219
5714,Electronic City,435.0,1,22.0,1,74
5715,Magadi Road,1116.0,2,51.89,2,155
5716,Old Madras Road,1480.0,3,95.0,3,177
5717,Hormavu,1000.0,2,50.0,2,100
5718,HSR Layout,1145.0,2,46.0,2,89
5719,Bommasandra,800.0,1,32.0,2,48
5720,Thanisandra,1265.0,2,83.0,2,209
5721,Devanahalli,2425.0,3,88.2,3,65
5722,other,1475.0,2,70.0,2,230
5723,BTM 2nd Stage,1265.0,2,55.0,2,22
5724,Brookefield,1080.0,2,50.0,2,51
5725,Whitefield,2023.0,4,130.0,3,224
5726,other,2400.0,2,125.0,2,230
5727,Kadubeesanahalli,1545.0,2,66.0,3,116
5728,6th Phase JP Nagar,1350.0,2,58.0,3,5
5729,Hoodi,1108.0,2,74.23,2,97
5730,Marathahalli,1730.0,3,115.0,3,161
5731,other,1427.0,2,70.0,3,230
5732,Yelahanka,935.0,2,35.53,2,226
5733,Sarjapura - Attibele Road,1073.0,2,31.77,2,195
5734,Ananth Nagar,960.0,2,37.0,2,16
5735,Thigalarapalya,2215.0,4,150.0,3,210
5736,Electronic City Phase II,1125.0,2,32.49,2,75
5737,Brookefield,1230.0,2,55.0,2,51
5738,Mahadevpura,1438.0,2,89.0,2,156
5739,7th Phase JP Nagar,1080.0,2,75.0,2,6
5740,Marathahalli,1200.0,1,103.0,2,161
5741,Uttarahalli,1590.0,3,58.0,3,216
5742,other,1350.0,3,68.0,3,230
5743,Raja Rajeshwari Nagar,1400.0,2,48.0,3,184
5744,Kaggadasapura,1560.0,2,72.0,3,118
5745,Mallasandra,1810.0,3,57.0,4,158
5746,other,2274.24,4,160.0,3,230
5747,Sonnenahalli,1484.0,3,74.18,3,204
5748,other,1455.0,2,55.0,3,230
5749,Thanisandra,2280.0,4,184.0,3,209
5750,Bharathi Nagar,1351.0,2,74.0,2,42
5751,Kanakpura Road,1223.0,2,42.81,3,127
5752,KR Puram,1430.0,2,61.0,3,115
5753,Sarjapur  Road,984.0,2,55.0,2,194
5754,Jalahalli,1770.0,3,100.0,3,111
5755,Margondanahalli,1140.0,2,60.0,2,162
5756,Bommanahalli,1170.0,2,34.0,2,47
5757,other,1570.0,3,80.0,3,230
5758,other,1495.0,2,65.0,3,230
5759,Hoodi,1530.0,2,67.0,3,97
5760,Gunjur,1800.0,3,70.0,3,85
5761,Bellandur,1088.0,2,48.0,2,40
5762,Hosa Road,1533.0,3,98.18,3,101
5763,Rachenahalli,1100.0,2,68.0,2,183
5764,Thubarahalli,1540.0,3,90.0,3,211
5765,Hebbal,1244.0,3,48.0,2,92
5766,Hosa Road,1040.0,2,68.59,2,101
5767,Begur Road,1260.0,2,39.69,2,39
5768,Thigalarapalya,1245.0,2,100.0,2,210
5769,other,1350.0,3,75.0,3,230
5770,Vijayanagar,920.0,2,60.0,2,220
5771,other,2300.0,7,160.0,6,230
5772,Yelahanka New Town,2095.0,3,109.0,4,227
5773,Begur Road,1100.0,2,71.42,2,39
5774,Vijayanagar,1019.0,2,58.0,2,220
5775,Harlur,1756.0,3,128.0,3,91
5776,Bommasandra,1280.0,3,50.0,3,48
5777,Indira Nagar,1700.0,3,150.0,3,108
5778,Whitefield,2134.0,4,118.0,3,224
5779,Hosa Road,1369.1,2,98.0,2,101
5780,other,2515.0,4,155.0,3,230
5781,Thigalarapalya,2215.0,4,154.0,3,210
5782,other,1440.0,3,72.0,3,230
5783,Hennur Road,1186.0,2,55.33,3,96
5784,Hebbal,1800.0,3,140.0,3,92
5785,Kudlu,1600.0,3,79.0,3,147
5786,GM Palaya,1000.0,2,35.0,2,78
5787,Binny Pete,1740.0,3,150.0,3,45
5788,Kambipura,1082.0,2,45.5,3,123
5789,Nagarbhavi,1050.0,2,80.0,2,169
5790,other,1200.0,2,56.0,2,230
5791,Begur,3500.0,4,185.0,3,38
5792,Dasarahalli,1220.0,2,52.0,2,64
5793,Binny Pete,1970.0,3,164.0,3,45
5794,Kanakapura,2130.0,4,120.0,4,126
5795,Harlur,1749.0,3,120.0,3,91
5796,Subramanyapura,1260.0,2,108.0,2,205
5797,Doddaballapur,1590.0,2,48.0,3,68
5798,other,1670.0,3,75.0,3,230
5799,Hennur Road,2264.0,3,168.0,3,96
5800,Begur,1100.0,2,55.0,2,38
5801,Chandapura,674.0,1,19.9,2,55
5802,Electronics City Phase 1,1125.0,2,65.0,2,76
5803,Nagavara,1125.0,2,44.5,2,171
5804,other,700.0,2,29.0,2,230
5805,BTM Layout,1300.0,2,75.0,3,23
5806,JP Nagar,1600.0,3,83.0,3,109
5807,Magadi Road,1052.0,2,60.0,3,155
5808,Devarachikkanahalli,1130.0,2,36.0,2,66
5809,Electronic City,1500.0,2,63.0,3,74
5810,Gottigere,1230.0,2,52.0,3,82
5811,Haralur Road,1520.0,2,85.0,3,90
5812,Kanakpura Road,525.0,1,26.25,1,127
5813,Hosa Road,1040.0,2,61.0,2,101
5814,other,1300.0,2,67.0,3,230
5815,Old Airport Road,2690.0,4,201.0,4,176
5816,Panathur,1140.0,2,51.2,2,180
5817,Nagavarapalya,646.0,1,25.84,1,172
5818,Kadugodi,1890.0,4,125.0,3,117
5819,other,1200.0,4,100.0,6,230
5820,Whitefield,1458.0,2,62.0,3,224
5821,other,1200.0,6,86.0,5,230
5822,Green Glen Layout,1970.0,3,160.0,3,83
5823,Whitefield,1808.0,4,80.0,3,224
5824,Balagere,1007.0,2,67.0,2,25
5825,Doddathoguru,1105.0,2,50.0,2,70
5826,Lakshminarayana Pura,1700.0,3,150.0,3,153
5827,Raja Rajeshwari Nagar,1170.0,2,50.0,2,184
5828,Chandapura,1080.0,2,45.0,2,55
5829,Kaggalipura,1150.0,2,62.0,3,119
5830,Ramamurthy Nagar,1200.0,2,57.9,2,188
5831,Kudlu Gate,1656.0,3,75.0,3,148
5832,KR Puram,1040.0,2,50.0,2,115
5833,Hosur Road,1085.0,2,33.7,2,104
5834,other,1215.0,2,49.75,3,230
5835,NRI Layout,2150.0,4,115.0,4,168
5836,Panathur,1210.0,2,77.0,2,180
5837,other,1050.0,2,55.0,2,230
5838,Mysore Road,947.55,2,80.0,2,166
5839,Malleshpalya,1421.0,2,90.0,2,159
5840,Old Madras Road,1425.0,2,74.31,3,177
5841,Budigere,1162.0,2,58.0,2,52
5842,Whitefield,905.0,1,60.0,1,224
5843,Sarjapur  Road,914.0,2,32.0,2,194
5844,other,1258.0,2,58.0,2,230
5845,Hormavu,3500.0,4,289.0,4,100
5846,Whitefield,1537.0,2,70.0,3,224
5847,Chikkalasandra,1230.0,2,53.51,3,59
5848,Hosur Road,2000.0,4,69.0,4,104
5849,Indira Nagar,3200.0,3,250.0,4,108
5850,Anjanapura,950.0,2,32.0,2,18
5851,Marathahalli,4000.0,4,200.0,4,161
5852,Yelahanka,1282.0,2,48.72,3,226
5853,Banashankari Stage III,1304.0,2,111.0,2,28
5854,Jakkur,1220.0,2,49.0,3,110
5855,7th Phase JP Nagar,1415.0,3,65.0,3,6
5856,Green Glen Layout,1728.0,3,125.0,3,83
5857,Yelahanka,3990.0,4,260.0,4,226
5858,Kasavanhalli,1495.0,2,83.0,2,130
5859,Yeshwanthpur,2501.0,3,138.0,3,229
5860,Kanakpura Road,381.0,1,28.0,1,127
5861,Hennur Road,2002.0,3,120.0,3,96
5862,other,3200.0,3,260.0,3,230
5863,Banjara Layout,1200.0,2,70.0,2,32
5864,Bommasandra,1942.0,3,90.0,3,48
5865,other,1450.0,3,90.0,3,230
5866,Electronic City,1039.0,2,50.0,2,74
5867,Old Madras Road,1210.0,2,80.0,2,177
5868,Yelahanka,1620.0,3,90.0,3,226
5869,Hebbal Kempapura,3408.0,3,260.0,3,93
5870,Marathahalli,1314.0,2,55.0,2,161
5871,Bisuvanahalli,945.0,2,33.0,2,46
5872,Nehru Nagar,1374.0,3,72.0,3,174
5873,Kanakpura Road,1603.0,3,113.0,3,127
5874,Kengeri,1230.0,2,52.0,3,135
5875,Basavangudi,670.0,1,50.0,1,35
5876,Sarjapur  Road,1864.0,3,105.0,4,194
5877,Hosa Road,2500.0,3,100.0,3,101
5878,Raja Rajeshwari Nagar,1625.0,2,54.0,3,184
5879,Whitefield,1186.0,2,55.0,2,224
5880,Electronic City,770.0,1,39.9,2,74
5881,Varthur,1085.0,2,45.0,2,217
5882,other,1893.0,3,115.0,3,230
5883,Kundalahalli,1496.0,2,78.0,3,150
5884,Electronics City Phase 1,1550.0,2,82.0,3,76
5885,Marathahalli,1200.0,2,58.17,3,161
5886,Electronic City Phase II,1286.0,2,69.0,2,75
5887,Hebbal,1860.0,3,95.0,3,92
5888,Haralur Road,1243.0,2,45.0,2,90
5889,Brookefield,1200.0,2,75.0,2,51
5890,Sarjapur,1044.0,2,32.0,2,193
5891,7th Phase JP Nagar,1040.0,2,41.59,2,6
5892,8th Phase JP Nagar,1125.0,2,36.94,2,7
5893,Subramanyapura,1278.0,2,59.0,3,205
5894,other,2400.0,6,98.0,6,230
5895,other,1250.0,2,43.0,2,230
5896,Vijayanagar,2400.0,6,125.0,5,220
5897,Lakshminarayana Pura,1210.0,2,75.0,2,153
5898,Sarjapur  Road,1157.0,2,57.84,3,194
5899,Raja Rajeshwari Nagar,1185.0,2,51.15,2,184
5900,Kalena Agrahara,1450.0,3,100.0,3,121
5901,Old Madras Road,1859.0,3,121.0,3,177
5902,Attibele,900.0,1,25.0,2,21
5903,Ramamurthy Nagar,1305.0,3,60.0,3,188
5904,other,1200.0,2,100.0,3,230
5905,Thanisandra,1165.5,1,35.285,1,209
5906,Kasavanhalli,5000.0,2,400.0,2,130
5907,Sarjapur  Road,1150.0,2,36.8,2,194
5908,Whitefield,1806.0,3,85.0,3,224
5909,Kudlu,1027.0,2,42.0,2,147
5910,Uttarahalli,1002.0,2,40.08,2,216
5911,Electronic City Phase II,1220.0,2,36.21,3,75
5912,Whitefield,1109.0,2,35.22,2,224
5913,Hennur Road,1232.0,2,69.6,2,96
5914,Kalyan nagar,1250.0,2,65.0,2,122
5915,KR Puram,960.0,4,80.0,4,115
5916,Raja Rajeshwari Nagar,1255.0,2,53.87,2,184
5917,Akshaya Nagar,1434.0,3,84.0,3,11
5918,Doddathoguru,925.0,2,30.0,2,70
5919,Jakkur,1858.0,3,123.0,3,110
5920,other,1205.0,2,70.0,2,230
5921,other,1500.0,3,90.0,3,230
5922,Thanisandra,965.0,2,56.0,2,209
5923,other,1200.0,4,90.0,6,230
5924,Battarahalli,1636.0,2,82.89,2,37
5925,Whitefield,1216.0,2,67.0,2,224
5926,Yelahanka,654.0,1,36.25,1,226
5927,Chikkabanavar,2460.0,7,80.0,4,58
5928,other,1190.0,2,41.0,2,230
5929,Budigere,1636.0,3,92.0,3,52
5930,Hennur Road,1195.0,2,73.0,2,96
5931,other,1250.0,2,67.0,2,230
5932,Whitefield,1452.0,3,90.0,3,224
5933,Thanisandra,1546.0,3,95.0,3,209
5934,Sarjapur  Road,5039.0,6,142.0,4,194
5935,other,2260.0,3,80.0,2,230
5936,other,2700.0,3,90.0,4,230
5937,JP Nagar,3000.0,3,150.0,4,109
5938,other,375.0,1,26.0,1,230
5939,Balagere,1007.0,2,66.0,2,25
5940,Kanakpura Road,1590.0,1,125.0,1,127
5941,Hennur Road,1020.0,2,47.0,2,96
5942,other,800.0,3,59.5,2,230
5943,other,1200.0,3,95.0,5,230
5944,Marathahalli,1125.0,2,55.0,2,161
5945,other,909.0,2,43.0,3,230
5946,Whitefield,2850.0,5,240.0,4,224
5947,other,1400.0,2,85.0,2,230
5948,Kadugodi,1152.0,2,61.0,2,117
5949,Subramanyapura,958.0,2,34.49,2,205
5950,Old Madras Road,2990.0,5,173.0,3,177
5951,Bellandur,1310.0,2,85.0,2,40
5952,Hosur Road,1590.0,2,126.0,3,104
5953,Green Glen Layout,1645.0,3,110.0,3,83
5954,other,1800.0,2,100.0,3,230
5955,Thanisandra,1795.0,3,150.0,3,209
5956,Thanisandra,1087.0,1,38.535,1,209
5957,other,925.0,2,70.0,2,230
5958,Basavangudi,1542.14,3,120.0,3,35
5959,Thanisandra,1430.0,2,54.0,3,209
5960,Bommanahalli,1020.0,2,55.0,2,47
5961,other,750.0,2,42.0,4,230
5962,Electronic City Phase II,1140.0,2,32.92,2,75
5963,Anekal,967.0,2,45.0,3,17
5964,Hebbal,2470.0,4,203.0,4,92
5965,other,850.0,1,35.5,2,230
5966,other,1100.0,2,32.0,2,230
5967,Thanisandra,1697.0,3,110.0,3,209
5968,Varthur,1250.0,2,47.0,2,217
5969,Gottigere,1120.0,2,50.0,2,82
5970,NRI Layout,1200.0,4,95.0,4,168
5971,Hennur Road,5100.0,6,375.0,5,96
5972,Hebbal,1200.0,2,52.0,2,92
5973,Devarachikkanahalli,1417.0,2,76.0,3,66
5974,Thanisandra,1492.0,3,88.0,3,209
5975,Devanahalli,1498.0,3,79.15,3,65
5976,Kundalahalli,1010.0,2,48.27,2,150
5977,Channasandra,1050.0,2,35.0,2,56
5978,Hegde Nagar,1847.0,3,125.0,3,94
5979,other,1200.0,2,55.0,2,230
5980,Bellandur,982.0,2,37.28,2,40
5981,Hegde Nagar,2144.6,4,145.0,3,94
5982,Kengeri,750.0,2,36.5,2,135
5983,Electronic City,919.0,2,35.0,2,74
5984,Budigere,1087.0,2,54.3,2,52
5985,other,1480.0,3,74.0,3,230
5986,Tindlu,1180.0,2,52.0,2,213
5987,Jigani,1221.0,3,65.0,3,113
5988,Thanisandra,2072.0,3,122.0,3,209
5989,Whitefield,1600.0,3,69.0,3,224
5990,Sahakara Nagar,2200.0,3,98.0,3,190
5991,Kaikondrahalli,1253.0,2,81.5,2,120
5992,Hennur Road,1061.0,2,54.92,2,96
5993,Marathahalli,1950.0,3,115.0,3,161
5994,Marathahalli,1250.0,2,68.0,2,161
5995,Hennur Road,1585.0,2,80.0,3,96
5996,Kammasandra,1015.0,2,37.0,2,125
5997,Begur Road,3695.5,6,118.0,4,39
5998,Marathahalli,1125.0,2,56.8,2,161
5999,Electronic City Phase II,1116.0,2,40.0,2,75
6000,other,400.0,1,35.0,1,230
6001,Kasavanhalli,4000.0,4,325.0,4,130
6002,Old Madras Road,1300.0,2,100.0,2,177
6003,Raja Rajeshwari Nagar,1419.0,2,60.42,2,184
6004,other,1310.0,2,55.0,3,230
6005,Thigalarapalya,2072.0,4,152.0,3,210
6006,Kaggadasapura,1240.0,2,58.58,2,118
6007,Chamrajpet,1565.0,3,98.91,3,54
6008,Budigere,1820.0,3,89.0,3,52
6009,Gubbalala,2500.0,3,88.0,3,84
6010,KR Puram,3657.0,5,310.0,5,115
6011,Hosa Road,1245.0,2,62.0,2,101
6012,GM Palaya,1315.0,3,65.0,3,78
6013,Kenchenahalli,1410.0,2,73.0,3,134
6014,Dasarahalli,1375.0,2,60.0,2,64
6015,Old Madras Road,1299.0,2,95.0,2,177
6016,other,993.0,2,45.5,2,230
6017,Bommasandra Industrial Area,1200.0,3,45.0,2,49
6018,other,2400.0,5,180.0,4,230
6019,Hoodi,1655.0,3,131.0,3,97
6020,Whitefield,2830.0,5,190.0,4,224
6021,other,6000.0,1,276.0,1,230
6022,other,825.0,2,40.0,1,230
6023,Begur Road,1634.0,3,111.0,3,39
6024,Banaswadi,1222.0,2,80.0,2,31
6025,Gottigere,1500.0,3,63.0,3,82
6026,Akshaya Nagar,1890.0,4,100.0,3,11
6027,Hulimavu,850.0,1,39.5,2,105
6028,Whitefield,1295.0,2,78.5,2,224
6029,Sarjapur  Road,1320.0,2,100.0,2,194
6030,2nd Stage Nagarbhavi,3000.0,3,170.0,4,2
6031,Harlur,1197.0,2,82.0,2,91
6032,other,1320.0,2,60.0,3,230
6033,Billekahalli,1180.0,5,98.5,5,44
6034,Whitefield,840.0,1,57.6,1,224
6035,Raja Rajeshwari Nagar,1693.0,3,71.38,3,184
6036,Kodihalli,1000.0,2,62.0,2,141
6037,Babusapalaya,1305.0,2,70.0,2,24
6038,Kodichikkanahalli,450.0,1,18.0,1,138
6039,CV Raman Nagar,705.0,1,57.0,1,53
6040,Tumkur Road,4800.0,5,150.0,5,214
6041,Gubbalala,5000.0,4,425.0,4,84
6042,Whitefield,1991.0,3,104.0,3,224
6043,Battarahalli,1779.0,3,90.0,3,37
6044,Banaswadi,870.0,2,38.0,2,31
6045,Thanisandra,1595.0,3,120.0,3,209
6046,Iblur Village,2000.0,4,138.0,3,107
6047,Yelahanka,1614.0,3,93.0,3,226
6048,Gottigere,1200.0,2,40.0,2,82
6049,Electronic City Phase II,1150.0,3,46.0,3,75
6050,Sonnenahalli,1610.0,3,80.48,3,204
6051,Whitefield,1190.0,2,41.0,2,224
6052,other,1050.0,2,50.0,2,230
6053,other,4800.0,5,420.0,4,230
6054,7th Phase JP Nagar,1460.0,2,97.0,3,6
6055,other,600.0,1,33.0,1,230
6056,other,1569.0,3,70.0,3,230
6057,other,2600.0,3,147.0,3,230
6058,Electronics City Phase 1,645.0,1,42.5,1,76
6059,Marathahalli,1350.0,2,90.0,2,161
6060,other,1410.0,2,45.12,3,230
6061,Whitefield,1109.0,2,35.47,2,224
6062,Bannerghatta Road,1215.0,2,68.0,2,34
6063,Prithvi Layout,2273.0,4,192.0,3,181
6064,Varthur Road,1255.0,2,52.76,2,218
6065,other,1020.0,2,49.0,2,230
6066,other,1225.0,2,82.0,3,230
6067,Singasandra,1120.0,2,60.0,2,201
6068,Kasavanhalli,1225.0,2,69.0,3,130
6069,Whitefield,5200.0,5,242.0,4,224
6070,Sarjapur  Road,1984.0,4,145.0,3,194
6071,Old Madras Road,2425.0,3,197.0,3,177
6072,Bommasandra,1127.0,2,45.0,2,48
6073,Whitefield,1655.0,3,97.0,3,224
6074,Varthur,1200.0,3,68.38,3,217
6075,Kaggadasapura,1000.0,2,43.0,2,118
6076,CV Raman Nagar,1225.0,2,47.88,2,53
6077,Hormavu,1350.0,2,45.0,2,100
6078,Sahakara Nagar,1175.0,2,49.0,2,190
6079,other,655.0,1,27.0,1,230
6080,Hosa Road,1311.0,2,84.86,3,101
6081,CV Raman Nagar,1000.0,2,38.5,2,53
6082,other,1196.0,2,96.0,2,230
6083,Kanakpura Road,1050.0,2,59.0,3,127
6084,Somasundara Palya,1275.0,2,52.0,3,202
6085,other,927.0,2,50.0,2,230
6086,Varthur,1520.0,2,61.0,3,217
6087,Hebbal,1333.0,2,104.0,2,92
6088,other,600.0,1,18.0,1,230
6089,Sarjapur  Road,2582.5,2,85.125,3,194
6090,Koramangala,1100.0,2,85.0,2,144
6091,Haralur Road,1650.0,3,100.0,3,90
6092,Kasavanhalli,1917.0,3,132.0,3,130
6093,Billekahalli,950.0,2,58.11,2,44
6094,other,1175.0,2,48.72,2,230
6095,8th Phase JP Nagar,1089.0,2,43.55,2,7
6096,Hoodi,1257.0,2,68.5,2,97
6097,Sarjapur,650.0,1,19.87,1,193
6098,Whitefield,1850.0,3,150.0,3,224
6099,other,2800.0,4,200.0,4,230
6100,Vidyaranyapura,945.0,2,40.0,2,219
6101,Koramangala,1161.0,2,63.85,2,144
6102,Banashankari Stage V,1630.0,3,51.35,3,29
6103,Jalahalli,1310.0,2,60.0,3,111
6104,other,750.0,2,28.0,2,230
6105,Whitefield,1200.0,3,67.77,3,224
6106,other,1000.0,2,45.0,2,230
6107,Old Madras Road,4000.0,4,225.0,4,177
6108,Nagavara,1315.0,2,70.0,2,171
6109,Sahakara Nagar,1370.0,2,90.0,3,190
6110,Bellandur,1465.0,3,90.0,2,40
6111,Padmanabhanagar,1250.0,2,70.0,3,178
6112,Horamavu Agara,1284.0,2,75.0,3,98
6113,Hebbal,2600.0,3,199.0,3,92
6114,Kodigehalli,1820.0,3,150.0,3,140
6115,Haralur Road,1580.0,3,73.0,3,90
6116,Akshaya Nagar,2650.0,3,125.0,3,11
6117,Uttarahalli,1075.0,2,40.0,2,216
6118,R.T. Nagar,1400.0,2,78.0,3,182
6119,Subramanyapura,1400.0,2,55.0,3,205
6120,Bisuvanahalli,845.0,2,30.0,2,46
6121,Sarjapur,5608.5,6,385.5,4,193
6122,Gunjur,1175.0,2,43.48,2,85
6123,Bellandur,1767.0,3,109.0,3,40
6124,Sarjapur  Road,1800.0,3,90.0,4,194
6125,Whitefield,1290.0,2,90.0,2,224
6126,Kasavanhalli,1375.0,2,78.0,2,130
6127,other,985.0,2,57.0,2,230
6128,Singasandra,1099.0,2,37.5,2,201
6129,Marathahalli,1200.0,2,53.0,2,161
6130,Hulimavu,1000.0,2,45.0,2,105
6131,Electronic City,1159.0,2,38.0,3,74
6132,BTM Layout,1540.0,2,78.0,3,23
6133,other,1503.0,2,93.0,3,230
6134,Ambedkar Nagar,1850.0,4,120.0,3,13
6135,Uttarahalli,1580.0,3,60.0,3,216
6136,Mico Layout,1190.0,2,39.25,2,163
6137,other,1200.0,2,61.0,2,230
6138,other,1500.0,2,52.0,3,230
6139,Thanisandra,1880.0,3,120.0,3,209
6140,Padmanabhanagar,1150.0,2,45.0,2,178
6141,Kasavanhalli,4408.0,4,344.0,4,130
6142,Sarjapur  Road,7800.0,6,385.0,5,194
6143,other,1765.0,3,77.27,3,230
6144,Bannerghatta Road,1894.0,3,115.0,3,34
6145,Sector 7 HSR Layout,1760.0,3,142.0,3,197
6146,other,1768.0,3,95.0,3,230
6147,Kothanur,1790.0,3,97.0,3,146
6148,Kengeri,2540.0,4,160.0,4,135
6149,Mahadevpura,1137.0,2,53.4,2,156
6150,Jakkur,4305.905,2,229.0,4,110
6151,Mysore Road,1568.0,2,100.0,3,166
6152,Devanahalli,7370.0,4,393.5,4,65
6153,AECS Layout,1308.0,2,60.0,2,9
6154,Bisuvanahalli,1200.0,2,41.0,3,46
6155,other,800.0,1,32.0,1,230
6156,Bisuvanahalli,873.0,2,40.0,3,46
6157,Subramanyapura,958.0,2,33.53,2,205
6158,Talaghattapura,2273.0,3,159.0,3,208
6159,Thanisandra,760.0,1,50.0,1,209
6160,Dommasandra,1090.0,2,43.5,2,72
6161,Bellandur,2666.0,3,230.0,3,40
6162,Sarjapur  Road,1550.0,2,89.0,3,194
6163,Ramagondanahalli,1251.0,2,50.0,2,187
6164,Electronic City,1070.0,2,53.0,2,74
6165,Kalena Agrahara,1200.0,2,45.0,2,121
6166,CV Raman Nagar,1435.0,2,60.0,3,53
6167,Bommasandra,1400.0,2,45.0,3,48
6168,Judicial Layout,2330.0,3,94.71,4,114
6169,Thanisandra,1200.0,2,60.0,2,209
6170,Panathur,1000.0,2,40.0,2,180
6171,Bannerghatta Road,1655.0,2,62.89,3,34
6172,other,600.0,1,35.0,1,230
6173,Electronics City Phase 1,1175.0,2,50.0,2,76
6174,Uttarahalli,1155.0,2,40.43,2,216
6175,Magadi Road,1200.0,3,98.0,3,155
6176,Budigere,1149.0,2,65.0,2,52
6177,Jakkur,2550.0,2,98.485,3,110
6178,other,1010.0,2,55.0,2,230
